1960,43.7
1961,44.1
1962,44.8
1963,46.0
1964,47.6
1965,49.5
1966,51.7
1967,53.8
1968,55.8
1969,57.6
1970,59.1
1971,60.3
1972,61.3
1973,62.3
1974,63.1
1975,63.9
1976,64.6
1977,65.3
1978,65.9
1979,66.4
1980,66.8
1981,67.3
1982,67.6
1983,67.9
1984,68.2
1985,68.5
1986,68.7
1987,68.8
1988,69.0
1989,69.2
1990,69.3
1991,69.4
1992,69.6
1993,69.8
1994,69.9
1995,70.2
1996,70.4
1997,70.7
1998,71.1
1999,71.5
2000,72.0
2001,72.4
2002,72.8
2003,73.3
2004,73.6
2005,74.0
2006,74.3
2007,74.6
2008,74.8
2009,75.0
2010,75.2
2011,75.4
2012,75.6
2013,75.8
2014,75.9
2015,76.1
2016,76.3
